Time,Host,Service,Port,Protocol,Type,Data
"2025-09-07 12:29:34 UTC","10.162.251.64","","","","host.os.nmap_fingerprint","{:os_vendor=>""Microsoft"", :os_family=>""Windows"", :os_version=>""2012"", :os_accuracy=>94}"
"2025-09-07 12:29:34 UTC","10.162.251.64","","","","host.last_boot","{:time=>""Sun Feb 23 10:15:15 2025""}"
"2025-09-07 12:29:34 UTC","10.80.10.152","","","","host.last_boot","{:time=>""Sun Feb 23 11:35:52 2025""}"
"2025-09-07 12:29:34 UTC","10.162.198.248","","","","host.os.nmap_fingerprint","{:os_vendor=>""Microsoft"", :os_family=>""Windows"", :os_version=>""2012"", :os_accuracy=>89}"
"2025-09-07 12:29:34 UTC","10.97.119.225","","","","host.os.nmap_fingerprint","{:os_vendor=>""Microsoft"", :os_family=>""Windows"", :os_version=>""2016"", :os_accuracy=>87}"
"2025-09-07 12:29:34 UTC","10.102.237.149","","","","host.os.nmap_fingerprint","{:os_vendor=>""Microsoft"", :os_family=>""Windows"", :os_version=>""2016"", :os_accuracy=>87}"
"2025-09-07 12:29:34 UTC","10.102.237.149","","","","host.last_boot","{:time=>""Sun Sep 7 10:08:37 2025""}"
"2025-09-07 12:29:34 UTC","10.80.4.237","","","","host.os.nmap_fingerprint","{:os_vendor=>""Microsoft"", :os_family=>""Windows"", :os_version=>""2019"", :os_accuracy=>94}"
"2025-09-07 12:29:34 UTC","10.74.240.44","","","","host.last_boot","{:time=>""Wed Sep 3 15:48:49 2025""}"
"2025-09-07 12:29:34 UTC","10.159.6.144","","","","host.os.nmap_fingerprint","{:os_vendor=>""Linux"", :os_family=>""Linux"", :os_version=>""4.X"", :os_accuracy=>92}"
"2025-09-07 12:29:34 UTC","10.159.6.144","","","","host.last_boot","{:time=>""Thu Sep 4 03:29:30 2025""}"
"2025-09-07 12:29:34 UTC","10.69.32.242","","","","host.last_boot","{:time=>""Sun Sep 7 15:29:24 2025""}"
"2025-09-07 12:29:34 UTC","10.47.159.57","","","","host.os.nmap_fingerprint","{:os_vendor=>""Microsoft"", :os_family=>""Windows"", :os_version=>""2016"", :os_accuracy=>87}"
"2025-09-07 12:29:34 UTC","10.162.198.248","","","","host.last_boot","{:time=>""Sun Sep 7 10:18:10 2025""}"
"2025-09-07 12:29:34 UTC","10.97.119.225","","","","host.last_boot","{:time=>""Mon Sep 8 07:22:08 2025""}"
"2025-09-07 12:29:34 UTC","10.16.249.246","","","","host.last_boot","{:time=>""Mon Sep 8 10:57:16 2025""}"
"2025-09-07 12:29:34 UTC","10.161.154.129","","","","host.last_boot","{:time=>""Mon Sep 8 10:57:15 2025""}"
"2025-09-07 12:29:34 UTC","10.91.218.78","","","","host.last_boot","{:time=>""Wed Aug 27 22:43:04 2025""}"
"2025-09-07 12:29:34 UTC","10.47.159.57","","","","host.last_boot","{:time=>""Thu Aug 21 01:03:14 2025""}"
"2025-09-07 12:29:34 UTC","10.214.27.37","","","","host.os.nmap_fingerprint","{:os_vendor=>""Microsoft"", :os_family=>""Windows"", :os_version=>""2019"", :os_accuracy=>92}"
"2025-09-07 12:29:34 UTC","10.84.194.43","","","","host.os.nmap_fingerprint","{:os_vendor=>""Microsoft"", :os_family=>""Windows"", :os_version=>""2019"", :os_accuracy=>85}"
"2025-09-07 12:29:34 UTC","10.4.64.221","","","","host.last_boot","{:time=>""Wed Aug 27 22:38:08 2025""}"
"2025-09-07 12:29:34 UTC","10.84.185.246","","","","host.last_boot","{:time=>""Mon Aug 25 05:56:49 2025""}"
"2025-09-07 12:29:34 UTC","10.80.70.36","","","","host.last_boot","{:time=>""Sun Sep 7 15:06:31 2025""}"
"2025-09-07 12:29:34 UTC","10.67.108.106","","","","host.last_boot","{:time=>""Mon Aug 11 01:02:49 2025""}"
"2025-09-07 12:29:34 UTC","10.80.10.152","","","","host.os.nmap_fingerprint","{:os_vendor=>""Microsoft"", :os_family=>""Windows"", :os_version=>""2012"", :os_accuracy=>92}"
"2025-09-08 07:58:43 UTC","10.252.176.154","https","443","tcp","nmap.nse.http-methods.tcp.443","{""output""=>""\n Potentially risky methods: TRACE""}"
"2025-09-08 07:58:43 UTC","10.252.176.154","https","443","tcp","nmap.nse.http-title.tcp.443","{""output""=>""Site doesn't have a title (text/html).""}"
"2025-09-08 07:58:43 UTC","10.252.176.154","https","443","tcp","nmap.nse.ssl-date.tcp.443","{""output""=>""TLS randomness does not represent time""}"
"2025-09-08 07:58:43 UTC","10.252.176.154","https","443","tcp","nmap.nse.ssl-cert.tcp.443","{""output""=>""Subject: commonName=bst-d0f4155d-71f9-4660-8d00-a4c4c5501ba1.bastion.azure.com/organizationName=Microsoft Corporation/stateOrProvinceName=WA/countryName=US\nSubject Alternative Name: DNS:bst-d0f4155d-71f9-4660-8d00-a4c4c5501ba1.bastion.azure.com, DNS:bst-d0f4155d-71f9-4660-8d00-a4c4c5501ba1-0.bastion.azure.com, DNS:bst-d0f4155d-71f9-4660-8d00-a4c4c5501ba1-1.bastion.azure.com\nNot valid before: 2025-08-01T04:26:47\nNot valid after: 2026-01-28T04:26:47""}"
"2025-09-08 07:58:43 UTC","10.252.176.154","","","","host.os.nmap_fingerprint","{:os_vendor=>""OpenBSD"", :os_family=>""OpenBSD"", :os_version=>""4.X"", :os_accuracy=>85}"
"2025-09-08 07:58:43 UTC","10.237.31.167","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""Did not follow redirect to https://10.237.31.167/""}"
"2025-09-08 07:58:43 UTC","10.237.31.167","https","443","tcp","nmap.nse.ssl-cert.tcp.443","{""output""=>""Subject: commonName=ca.org-domain2.com\nSubject Alternative Name: DNS:mm.ca.org-domain2.com, DNS:mmapi.ca.org-domain2.com, DNS:tech.ca.org-domain2.com, DNS:ca.org-domain5.com, DNS:ca.org-domain2.com, DNS:www.ca.org-domain2.com\nNot valid before: 2025-06-08T08:28:31\nNot valid after: 2026-07-10T08:28:31""}"
"2025-09-08 07:58:43 UTC","10.237.31.167","https","443","tcp","nmap.nse.http-title.tcp.443","{""output""=>""Not Found""}"
"2025-09-08 07:58:43 UTC","10.237.31.167","https","443","tcp","nmap.nse.ssl-date.tcp.443","{""output""=>""TLS randomness does not represent time""}"
"2025-09-08 07:58:44 UTC","10.67.108.106","https","443","tcp","nmap.nse.http-methods.tcp.443","{""output""=>""\n Potentially risky methods: TRACE""}"
"2025-09-08 07:58:44 UTC","10.172.123.70","https-alt","8443","tcp","nmap.nse.http-title.tcp.8443","{""output""=>""Service""}"
"2025-09-08 07:58:44 UTC","10.172.123.70","https-alt","8443","tcp","nmap.nse.ssl-cert.tcp.8443","{""output""=>""Subject: commonName=2dd20066-470f-4b82-845f-71cfbac8ef11.gwt.cloudapp.net\nSubject Alternative Name: DNS:azuregateway-2dd20066-470f-4b82-845f-71cfbac8ef11-807f4843b0e4.gwt.cloudapp.net\nNot valid before: 2025-06-25T22:50:15\nNot valid after: 2025-12-22T22:50:15""}"
"2025-09-08 07:58:44 UTC","10.172.123.70","https-alt","8443","tcp","nmap.nse.http-server-header.tcp.8443","{""output""=>""Microsoft-HTTPAPI/2.0""}"
"2025-09-08 07:58:44 UTC","10.172.123.70","https-alt","8443","tcp","nmap.nse.ssl-date.tcp.8443","{""output""=>""TLS randomness does not represent time""}"
"2025-09-08 07:58:44 UTC","10.80.70.36","http","80","tcp","nmap.nse.http-server-header.tcp.80","{""output""=>""Microsoft-IIS/10.0""}"
"2025-09-08 07:58:44 UTC","10.80.70.36","http","80","tcp","nmap.nse.http-methods.tcp.80","{""output""=>""\n Potentially risky methods: TRACE""}"
"2025-09-08 07:58:44 UTC","10.80.70.36","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""Site doesn't have a title (text/html).""}"
"2025-09-08 07:58:44 UTC","10.80.70.36","https","443","tcp","nmap.nse.http-server-header.tcp.443","{""output""=>""Microsoft-IIS/10.0""}"
"2025-09-08 07:58:44 UTC","10.80.70.36","https","443","tcp","nmap.nse.http-methods.tcp.443","{""output""=>""\n Potentially risky methods: TRACE""}"
"2025-09-08 07:58:44 UTC","10.80.70.36","https","443","tcp","nmap.nse.ssl-cert.tcp.443","{""output""=>""Subject: commonName=*.org-domain3.com\nSubject Alternative Name: DNS:*.org-domain3.com, DNS:org-domain3.com\nNot valid before: 2025-06-01T07:30:59\nNot valid after: 2026-02-16T13:16:27""}"
"2025-09-08 07:58:44 UTC","10.80.70.36","https","443","tcp","nmap.nse.http-title.tcp.443","{""output""=>""Site doesn't have a title (text/html).""}"
"2025-09-08 07:58:44 UTC","10.67.108.106","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""Site doesn't have a title (text/html).""}"
"2025-09-08 07:58:44 UTC","10.67.108.106","http","80","tcp","nmap.nse.http-methods.tcp.80","{""output""=>""\n Potentially risky methods: TRACE""}"
"2025-09-08 07:58:44 UTC","10.67.108.106","http","80","tcp","nmap.nse.http-server-header.tcp.80","{""output""=>""Microsoft-IIS/10.0""}"
"2025-09-08 07:58:44 UTC","10.67.108.106","https","443","tcp","nmap.nse.http-server-header.tcp.443","{""output""=>""Microsoft-IIS/10.0""}"
"2025-09-08 07:58:44 UTC","10.67.108.106","https","443","tcp","nmap.nse.http-title.tcp.443","{""output""=>""Site doesn't have a title (text/html).""}"
"2025-09-08 07:58:44 UTC","10.67.108.106","https","443","tcp","nmap.nse.ssl-cert.tcp.443","{""output""=>""Subject: commonName=*.org-domain3.com\nSubject Alternative Name: DNS:*.org-domain3.com, DNS:org-domain3.com\nNot valid before: 2025-06-01T07:30:59\nNot valid after: 2026-02-16T13:16:27""}"
"2025-09-08 07:58:44 UTC","10.69.72.240","http","80","tcp","nmap.nse.http-server-header.tcp.80","{""output""=>""Microsoft-IIS/10.0""}"
"2025-09-08 07:58:44 UTC","10.69.72.240","http","80","tcp","nmap.nse.http-methods.tcp.80","{""output""=>""\n Potentially risky methods: TRACE""}"
"2025-09-08 07:58:44 UTC","10.69.72.240","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""Site doesn't have a title (text/html).""}"
"2025-09-08 07:58:44 UTC","10.69.72.240","https","443","tcp","nmap.nse.http-methods.tcp.443","{""output""=>""\n Potentially risky methods: TRACE""}"
"2025-09-08 07:58:44 UTC","10.69.72.240","https","443","tcp","nmap.nse.ssl-cert.tcp.443","{""output""=>""Subject: commonName=*.org-domain3.com\nSubject Alternative Name: DNS:*.org-domain3.com, DNS:org-domain3.com\nNot valid before: 2025-06-01T07:30:59\nNot valid after: 2026-02-16T13:16:27""}"
"2025-09-08 07:58:44 UTC","10.69.72.240","https","443","tcp","nmap.nse.http-title.tcp.443","{""output""=>""Site doesn't have a title (text/html).""}"
"2025-09-08 07:58:44 UTC","10.69.72.240","https","443","tcp","nmap.nse.http-server-header.tcp.443","{""output""=>""Microsoft-IIS/10.0""}"
"2025-09-08 07:58:44 UTC","10.67.110.154","http","80","tcp","nmap.nse.http-server-header.tcp.80","{""output""=>""Microsoft-Azure-Application-Gateway/v2""}"
"2025-09-08 07:58:45 UTC","10.67.110.154","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""Did not follow redirect to https://10.67.110.154/""}"
"2025-09-08 07:58:45 UTC","10.67.110.154","https","443","tcp","nmap.nse.ssl-cert.tcp.443","{""output""=>""Subject: commonName=*.org-domain3.com\nSubject Alternative Name: DNS:*.org-domain3.com, DNS:org-domain3.com\nNot valid before: 2025-06-01T07:30:59\nNot valid after: 2026-02-16T13:16:27""}"
"2025-09-08 07:58:45 UTC","10.67.110.154","https","443","tcp","nmap.nse.http-server-header.tcp.443","{""output""=>""Microsoft-Azure-Application-Gateway/v2""}"
"2025-09-08 07:58:45 UTC","10.67.110.154","https","443","tcp","nmap.nse.http-title.tcp.443","{""output""=>""404 Not Found""}"
"2025-09-08 07:58:45 UTC","10.183.61.130","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""404 Not Found""}"
"2025-09-08 07:58:45 UTC","10.183.61.130","http","80","tcp","nmap.nse.http-server-header.tcp.80","{""output""=>""Microsoft-Azure-Application-Gateway/v2""}"
"2025-09-08 07:58:45 UTC","10.183.61.130","https","443","tcp","nmap.nse.ssl-date.tcp.443","{""output""=>""TLS randomness does not represent time""}"
"2025-09-08 07:58:45 UTC","10.183.61.130","https","443","tcp","nmap.nse.ssl-cert.tcp.443","{""output""=>""Subject: commonName=*.org-domain8.com\nSubject Alternative Name: DNS:*.org-domain8.com, DNS:org-domain8.com\nNot valid before: 2025-05-04T18:00:40\nNot valid after: 2026-06-05T18:00:40""}"
"2025-09-08 07:58:45 UTC","10.183.61.130","https","443","tcp","nmap.nse.http-title.tcp.443","{""output""=>""404 Not Found""}"
"2025-09-08 07:58:45 UTC","10.183.61.130","https","443","tcp","nmap.nse.http-server-header.tcp.443","{""output""=>""Microsoft-Azure-Application-Gateway/v2""}"
"2025-09-08 07:58:45 UTC","10.210.211.63","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""Harmony""}"
"2025-09-08 07:58:45 UTC","10.80.23.183","http","80","tcp","nmap.nse.http-server-header.tcp.80","{""output""=>""Microsoft-IIS/8.5""}"
"2025-09-08 07:58:45 UTC","10.80.23.183","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""IIS Windows Server""}"
"2025-09-08 07:58:45 UTC","10.80.23.183","http","80","tcp","nmap.nse.http-methods.tcp.80","{""output""=>""\n Potentially risky methods: TRACE""}"
"2025-09-08 07:58:46 UTC","10.162.251.64","ftp","21","tcp","nmap.nse.ftp-syst.tcp.21","{""output""=>""\n SYST: UNIX emulated by FileZilla""}"
"2025-09-08 07:58:46 UTC","10.80.10.152","ftp","21","tcp","nmap.nse.ftp-syst.tcp.21","{""output""=>""\n SYST: UNIX emulated by FileZilla""}"
"2025-09-08 07:58:46 UTC","10.80.10.152","http","80","tcp","nmap.nse.http-trane-info.tcp.80","{""output""=>""Problem with XML parsing of /evox/about""}"
"2025-09-08 07:58:46 UTC","10.80.10.152","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""Harmony""}"
"2025-09-08 07:58:46 UTC","10.80.10.152","https","443","tcp","nmap.nse.http-title.tcp.443","{""output""=>""Not Found""}"
"2025-09-08 07:58:46 UTC","10.80.10.152","https","443","tcp","nmap.nse.ssl-date.tcp.443","{""output""=>""2025-09-08T07:58:35+00:00; 0s from scanner time.""}"
"2025-09-08 07:58:46 UTC","10.80.10.152","https","443","tcp","nmap.nse.http-server-header.tcp.443","{""output""=>""Microsoft-HTTPAPI/2.0""}"
"2025-09-08 07:58:46 UTC","10.80.10.152","https","443","tcp","nmap.nse.ssl-cert.tcp.443","{""output""=>""Subject: commonName=org-domain2.com\nSubject Alternative Name: DNS:org-domain2.com, DNS:www.org-domain2.com, DNS:www.org-domain5.com, DNS:mmapi.org-domain2.com, DNS:org-domain5.com, DNS:tst-mmapi.org-domain2.com, DNS:mm.org-domain2.com, DNS:tech.org-domain2.com, DNS:tst-mm.org-domain2.com, DNS:sms.org-domain2.com\nNot valid before: 2018-03-12T15:05:00\nNot valid after: 2020-03-12T15:05:00""}"
"2025-09-08 07:58:46 UTC","10.162.198.248","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""Harmony""}"
"2025-09-08 07:58:46 UTC","10.97.119.225","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""Harmony""}"
"2025-09-08 07:58:46 UTC","10.102.237.149","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""Harmony""}"
"2025-09-08 07:58:46 UTC","10.16.249.246","http","80","tcp","nmap.nse.http-server-header.tcp.80","{""output""=>""Microsoft-Azure-Application-Gateway/v2""}"
"2025-09-08 07:58:46 UTC","10.16.249.246","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""404 Not Found""}"
"2025-09-08 07:58:46 UTC","10.16.249.246","https","443","tcp","nmap.nse.http-server-header.tcp.443","{""output""=>""Microsoft-Azure-Application-Gateway/v2""}"
"2025-09-08 07:58:46 UTC","10.16.249.246","https","443","tcp","nmap.nse.ssl-date.tcp.443","{""output""=>""TLS randomness does not represent time""}"
"2025-09-08 07:58:46 UTC","10.16.249.246","https","443","tcp","nmap.nse.ssl-cert.tcp.443","{""output""=>""Subject: commonName=*.org-domain8.com\nSubject Alternative Name: DNS:*.org-domain8.com, DNS:org-domain8.com\nNot valid before: 2025-05-04T18:00:40\nNot valid after: 2026-06-05T18:00:40""}"
"2025-09-08 07:58:46 UTC","10.16.249.246","https","443","tcp","nmap.nse.tls-alpn.tcp.443","{""output""=>""\n h2\n http/1.1""}"
"2025-09-08 07:58:46 UTC","10.16.249.246","https","443","tcp","nmap.nse.http-title.tcp.443","{""output""=>""404 Not Found""}"
"2025-09-08 07:58:46 UTC","10.16.249.246","https","443","tcp","nmap.nse.tls-nextprotoneg.tcp.443","{""output""=>""\n h2\n http/1.1""}"
"2025-09-08 07:58:47 UTC","10.16.249.246","","","","host.os.nmap_fingerprint","{:os_vendor=>""OpenBSD"", :os_family=>""OpenBSD"", :os_version=>""4.X"", :os_accuracy=>85}"
"2025-09-08 07:58:47 UTC","10.161.154.129","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""404 Not Found""}"
"2025-09-08 07:58:47 UTC","10.161.154.129","http","80","tcp","nmap.nse.http-server-header.tcp.80","{""output""=>""Microsoft-Azure-Application-Gateway/v2""}"
"2025-09-08 07:58:47 UTC","10.161.154.129","https","443","tcp","nmap.nse.ssl-date.tcp.443","{""output""=>""TLS randomness does not represent time""}"
"2025-09-08 07:58:47 UTC","10.161.154.129","https","443","tcp","nmap.nse.tls-nextprotoneg.tcp.443","{""output""=>""\n h2\n http/1.1""}"
"2025-09-08 07:58:47 UTC","10.161.154.129","https","443","tcp","nmap.nse.tls-alpn.tcp.443","{""output""=>""\n h2\n http/1.1""}"
"2025-09-08 07:58:47 UTC","10.161.154.129","https","443","tcp","nmap.nse.http-server-header.tcp.443","{""output""=>""Microsoft-Azure-Application-Gateway/v2""}"
"2025-09-08 07:58:47 UTC","10.161.154.129","https","443","tcp","nmap.nse.http-title.tcp.443","{""output""=>""400 The plain HTTP request was sent to HTTPS port""}"
"2025-09-08 07:58:47 UTC","10.161.154.129","https","443","tcp","nmap.nse.ssl-cert.tcp.443","{""output""=>""Subject: commonName=*.org-domain8.com\nSubject Alternative Name: DNS:*.org-domain8.com, DNS:org-domain8.com\nNot valid before: 2025-05-04T18:00:40\nNot valid after: 2026-06-05T18:00:40""}"
"2025-09-08 07:58:47 UTC","10.80.4.237","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""IIS Windows Server""}"
"2025-09-08 07:58:47 UTC","10.80.4.237","http","80","tcp","nmap.nse.http-server-header.tcp.80","{""output""=>""Microsoft-IIS/10.0""}"
"2025-09-08 07:58:47 UTC","10.80.4.237","http","80","tcp","nmap.nse.http-methods.tcp.80","{""output""=>""\n Potentially risky methods: TRACE""}"
"2025-09-08 07:58:47 UTC","10.91.218.78","https-alt","8443","tcp","nmap.nse.http-title.tcp.8443","{""output""=>""Service""}"
"2025-09-08 07:58:47 UTC","10.91.218.78","https-alt","8443","tcp","nmap.nse.http-server-header.tcp.8443","{""output""=>""Microsoft-HTTPAPI/2.0""}"
"2025-09-08 07:58:47 UTC","10.91.218.78","https-alt","8443","tcp","nmap.nse.ssl-cert.tcp.8443","{""output""=>""Subject: commonName=3d5f0069-f096-42a4-8c7a-cacd0c63d735.gwt.cloudapp.net\nSubject Alternative Name: DNS:azuregateway-3d5f0069-f096-42a4-8c7a-cacd0c63d735-730ec66f2425.gwt.cloudapp.net\nNot valid before: 2025-06-26T16:59:59\nNot valid after: 2025-12-23T16:59:59""}"
"2025-09-08 07:58:47 UTC","10.91.218.78","https-alt","8443","tcp","nmap.nse.ssl-date.tcp.8443","{""output""=>""TLS randomness does not represent time""}"
"2025-09-08 07:58:47 UTC","10.74.240.44","https","443","tcp","nmap.nse.ssl-cert.tcp.443","{""output""=>""Subject: commonName=8378f332-8d5b-48c3-8ddb-2f254e1b8935.vpn.azure.com/organizationName=Microsoft Corporation/stateOrProvinceName=Washington/countryName=US\nSubject Alternative Name: DNS:8378f332-8d5b-48c3-8ddb-2f254e1b8935.vpn.azure.com, DNS:azuregateway-8378f332-8d5b-48c3-8ddb-2f254e1b8935-0c54ccfbf57e.vpn.azure.com\nNot valid before: 2025-05-02T00:00:00\nNot valid after: 2026-04-14T23:59:59""}"
"2025-09-08 07:58:47 UTC","10.74.240.44","https","443","tcp","nmap.nse.http-title.tcp.443","{""output""=>""Service Unavailable""}"
"2025-09-08 07:58:47 UTC","10.74.240.44","https","443","tcp","nmap.nse.ssl-date.tcp.443","{""output""=>""TLS randomness does not represent time""}"
"2025-09-08 07:58:47 UTC","10.74.240.44","https","443","tcp","nmap.nse.http-server-header.tcp.443","{""output""=>""Microsoft-HTTPAPI/2.0""}"
"2025-09-08 07:58:47 UTC","10.74.240.44","https","443","tcp","nmap.nse.sstp-discover.tcp.443","{""output""=>""SSTP is supported.""}"
"2025-09-08 07:58:47 UTC","10.74.240.44","https-alt","8443","tcp","nmap.nse.ssl-cert.tcp.8443","{""output""=>""Subject: commonName=8378f332-8d5b-48c3-8ddb-2f254e1b8935.gwt.cloudapp.net\nSubject Alternative Name: DNS:azuregateway-8378f332-8d5b-48c3-8ddb-2f254e1b8935-0c54ccfbf57e.gwt.cloudapp.net\nNot valid before: 2025-05-17T06:49:54\nNot valid after: 2026-05-12T06:49:54""}"
"2025-09-08 07:58:47 UTC","10.74.240.44","https-alt","8443","tcp","nmap.nse.http-server-header.tcp.8443","{""output""=>""Microsoft-HTTPAPI/2.0""}"
"2025-09-08 07:58:47 UTC","10.74.240.44","https-alt","8443","tcp","nmap.nse.ssl-date.tcp.8443","{""output""=>""TLS randomness does not represent time""}"
"2025-09-08 07:58:47 UTC","10.74.240.44","https-alt","8443","tcp","nmap.nse.http-title.tcp.8443","{""output""=>""Service""}"
"2025-09-08 07:58:48 UTC","10.214.27.37","https","443","tcp","nmap.nse.http-title.tcp.443","{""output""=>""Masterlinx""}"
"2025-09-08 07:58:48 UTC","10.47.159.57","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""Not Found""}"
"2025-09-08 07:58:48 UTC","10.47.159.57","http","80","tcp","nmap.nse.http-server-header.tcp.80","{""output""=>""Microsoft-HTTPAPI/2.0""}"
"2025-09-08 07:58:48 UTC","10.214.27.37","http","80","tcp","nmap.nse.http-server-header.tcp.80","{""output""=>""Microsoft-IIS/10.0""}"
"2025-09-08 07:58:48 UTC","10.214.27.37","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""Did not follow redirect to https://www.org-domain4.com/""}"
"2025-09-08 07:58:48 UTC","10.214.27.37","https","443","tcp","nmap.nse.ssl-cert.tcp.443","{""output""=>""Subject: commonName=www.org-domain4.com\nSubject Alternative Name: DNS:masterlinkasp.net, DNS:www.org-domain4.com, DNS:org-domain4.com, DNS:ftp.org-domain4.com\nNot valid before: 2024-12-09T07:38:02\nNot valid after: 2026-01-10T07:38:02""}"
"2025-09-08 07:58:48 UTC","10.214.27.37","https","443","tcp","nmap.nse.http-server-header.tcp.443","{""output""=>""Microsoft-IIS/10.0""}"
"2025-09-08 07:58:48 UTC","10.214.27.37","https","443","tcp","nmap.nse.http-methods.tcp.443","{""output""=>""\n Potentially risky methods: TRACE""}"
"2025-09-08 07:58:48 UTC","10.214.27.37","https","443","tcp","nmap.nse.tls-alpn.tcp.443","{""output""=>""\n http/1.1""}"
"2025-09-08 07:58:48 UTC","10.214.27.37","https","443","tcp","nmap.nse.ssl-date.tcp.443","{""output""=>""2025-09-08T07:58:36+00:00; 0s from scanner time.""}"
"2025-09-08 07:58:48 UTC","10.84.194.43","http","80","tcp","nmap.nse.http-title.tcp.80","{""output""=>""Did not follow redirect to https://www.org-domain4.com/""}"
"2025-09-08 07:58:48 UTC","10.84.194.43","http","80","tcp","nmap.nse.http-server-header.tcp.80","{""output""=>""Microsoft-IIS/10.0""}"
"2025-09-08 07:58:48 UTC","10.84.194.43","https","443","tcp","nmap.nse.http-server-header.tcp.443","{""output""=>""Microsoft-IIS/10.0""}"
"2025-09-08 07:58:48 UTC","10.84.194.43","https","443","tcp","nmap.nse.ssl-date.tcp.443","{""output""=>""2025-09-08T07:58:32+00:00; 0s from scanner time.""}"
"2025-09-08 07:58:48 UTC","10.84.194.43","https","443","tcp","nmap.nse.ssl-cert.tcp.443","{""output""=>""Subject: commonName=www.org-domain4.com\nSubject Alternative Name: DNS:masterlinkasp.net, DNS:www.org-domain4.com, DNS:org-domain4.com, DNS:ftp.org-domain4.com\nNot valid before: 2024-12-09T07:38:02\nNot valid after: 2026-01-10T07:38:02""}"
"2025-09-08 07:58:48 UTC","10.84.194.43","https","443","tcp","nmap.nse.http-methods.tcp.443","{""output""=>""\n Potentially risky methods: TRACE""}"
"2025-09-08 07:58:48 UTC","10.84.194.43","https","443","tcp","nmap.nse.tls-alpn.tcp.443","{""output""=>""\n http/1.1""}"
"2025-09-08 07:58:48 UTC","10.4.64.221","https-alt","8443","tcp","nmap.nse.http-server-header.tcp.8443","{""output""=>""Microsoft-HTTPAPI/2.0""}"
"2025-09-08 07:58:48 UTC","10.4.64.221","https-alt","8443","tcp","nmap.nse.http-title.tcp.8443","{""output""=>""Service""}"
