Time,Host,Service,Port,Protocol,Type,Data
"2025-09-08 07:18:06 UTC","10.90.242.12","https","443","tcp","nmap.nse.fingerprint-strings.tcp.443","{""output""=>""\n FourOhFourRequest: \n HTTP/1.0 400 Bad Request\n Date: Mon, 08 Sep 2025 07:16:57 GMT\n Connection: close\n Content-Type: text/html; charset=utf-8\n X-Frame-Options: SAMEORIGIN\n Content-Security-Policy: frame-ancestors 'self'; object-src 'self'; script-src 'self' https: 'unsafe-eval' 'unsafe-inline' blob:;\n X-XSS-Protection: 1; mode=block\n X-Content-Type-Options: nosniff\n Strict-Transport-Security: max-age=31536000\n <!DOCTYPE HTML PUBLIC \""-//IETF//DTD HTML 2.0//EN\"">\n <HTML><HEAD>\n <TITLE>400 Bad Request</TITLE>\n </HEAD><BODY>\n <H1>Bad Request</H1>\n Your browser sent a request that this server could not understand.<P>\n </BODY></HTML>\n GetRequest: \n HTTP/1.0 400 Bad Request\n Date: Mon, 08 Sep 2025 07:16:55 GMT\n Connection: close\n Content-Type: text/html; charset=utf-8\n X-Frame-Options: SAMEORIGIN\n Content-Security-Policy: frame-ancestors 'self'; object-src 'self'; script-src 'self' https: 'unsafe-eval' 'unsafe-inline' blob:;\n X-XSS-Protection: 1; mode=block\n X-Content-Type-Options: nosniff\n Strict-Transport-Security: max-age=31536000\n <!DOCTYPE HTML PUBLIC \""-//IETF//DTD HTML 2.0//EN\"">\n <HTML><HEAD>\n <TITLE>400 Bad Request</TITLE>\n </HEAD><BODY>\n <H1>Bad Request</H1>\n Your browser sent a request that this server could not understand.<P>\n </BODY></HTML>\n HTTPOptions: \n HTTP/1.0 405 Method Not Allowed\n Date: Mon, 08 Sep 2025 07:16:56 GMT\n Allow: \n Connection: close\n Content-Type: text/html; charset=utf-8\n X-Frame-Options: SAMEORIGIN\n Content-Security-Policy: frame-ancestors 'self'; object-src 'self'; script-src 'self' https: 'unsafe-eval' 'unsafe-inline' blob:;\n X-XSS-Protection: 1; mode=block\n X-Content-Type-Options: nosniff\n Strict-Transport-Security: max-age=31536000\n <!DOCTYPE HTML PUBLIC \""-//IETF//DTD HTML 2.0//EN\"">\n <HTML><HEAD>\n <TITLE>405 Method Not Allowed</TITLE>\n </HEAD><BODY>\n <H1>Method Not Allowed</H1>\n requested method OPTIONS is not allowed for the URL /.<P>\n </BODY></HTML>""}"
"2025-09-08 07:18:06 UTC","10.90.242.12","https","443","tcp","nmap.nse.http-title.tcp.443","{""output""=>""Site doesn't have a title (text/html).""}"
"2025-09-08 07:18:06 UTC","10.90.242.12","https","443","tcp","nmap.nse.http-methods.tcp.443","{""output""=>""\n Potentially risky methods: ""}"
"2025-09-08 07:18:06 UTC","10.90.242.12","https","443","tcp","nmap.nse.ssl-cert.tcp.443","{""output""=>""Subject: commonName=FG200ETK18907182/organizationName=Fortinet/stateOrProvinceName=California/countryName=US\nNot valid before: 2018-06-12T01:28:17\nNot valid after: 2038-01-19T03:14:07""}"
"2025-09-08 07:18:06 UTC","10.90.242.25","ftp","22","tcp","nmap.nse.ftp-syst.tcp.22","{""output""=>""\n SYST: UNIX emulated by FileZilla""}"
"2025-09-08 07:18:06 UTC","10.90.242.25","https","443","tcp","nmap.nse.tls-alpn.tcp.443","{""output""=>""\n http/1.1""}"
"2025-09-08 07:18:06 UTC","10.90.242.25","https","443","tcp","nmap.nse.http-title.tcp.443","{""output""=>""Not Found""}"
"2025-09-08 07:18:06 UTC","10.90.242.25","https","443","tcp","nmap.nse.http-server-header.tcp.443","{""output""=>""Microsoft-HTTPAPI/2.0""}"
"2025-09-08 07:18:06 UTC","10.90.242.25","https","443","tcp","nmap.nse.ssl-date.tcp.443","{""output""=>""TLS randomness does not represent time""}"
"2025-09-08 07:18:06 UTC","10.90.242.25","https","443","tcp","nmap.nse.ssl-cert.tcp.443","{""output""=>""Subject: commonName=*.org-domain3.com\nSubject Alternative Name: DNS:*.org-domain3.com, DNS:org-domain3.com\nNot valid before: 2025-06-01T07:30:59\nNot valid after: 2026-02-16T13:16:27""}"
"2025-09-08 07:29:43 UTC","10.90.242.12","https","443","tcp","nmap.nse.fingerprint-strings.tcp.443","{""output""=>""\n FourOhFourRequest: \n HTTP/1.0 400 Bad Request\n Date: Mon, 08 Sep 2025 07:28:33 GMT\n Connection: close\n Content-Type: text/html; charset=utf-8\n X-Frame-Options: SAMEORIGIN\n Content-Security-Policy: frame-ancestors 'self'; object-src 'self'; script-src 'self' https: 'unsafe-eval' 'unsafe-inline' blob:;\n X-XSS-Protection: 1; mode=block\n X-Content-Type-Options: nosniff\n Strict-Transport-Security: max-age=31536000\n <!DOCTYPE HTML PUBLIC \""-//IETF//DTD HTML 2.0//EN\"">\n <HTML><HEAD>\n <TITLE>400 Bad Request</TITLE>\n </HEAD><BODY>\n <H1>Bad Request</H1>\n Your browser sent a request that this server could not understand.<P>\n </BODY></HTML>\n GetRequest: \n HTTP/1.0 400 Bad Request\n Date: Mon, 08 Sep 2025 07:28:30 GMT\n Connection: close\n Content-Type: text/html; charset=utf-8\n X-Frame-Options: SAMEORIGIN\n Content-Security-Policy: frame-ancestors 'self'; object-src 'self'; script-src 'self' https: 'unsafe-eval' 'unsafe-inline' blob:;\n X-XSS-Protection: 1; mode=block\n X-Content-Type-Options: nosniff\n Strict-Transport-Security: max-age=31536000\n <!DOCTYPE HTML PUBLIC \""-//IETF//DTD HTML 2.0//EN\"">\n <HTML><HEAD>\n <TITLE>400 Bad Request</TITLE>\n </HEAD><BODY>\n <H1>Bad Request</H1>\n Your browser sent a request that this server could not understand.<P>\n </BODY></HTML>\n HTTPOptions: \n HTTP/1.0 405 Method Not Allowed\n Date: Mon, 08 Sep 2025 07:28:31 GMT\n Allow: \n Connection: close\n Content-Type: text/html; charset=utf-8\n X-Frame-Options: SAMEORIGIN\n Content-Security-Policy: frame-ancestors 'self'; object-src 'self'; script-src 'self' https: 'unsafe-eval' 'unsafe-inline' blob:;\n X-XSS-Protection: 1; mode=block\n X-Content-Type-Options: nosniff\n Strict-Transport-Security: max-age=31536000\n <!DOCTYPE HTML PUBLIC \""-//IETF//DTD HTML 2.0//EN\"">\n <HTML><HEAD>\n <TITLE>405 Method Not Allowed</TITLE>\n </HEAD><BODY>\n <H1>Method Not Allowed</H1>\n requested method OPTIONS is not allowed for the URL /.<P>\n </BODY></HTML>""}"
"2025-09-08 08:27:49 UTC","10.90.242.12","https","443","tcp","nmap.nse.http-methods.tcp.443","{""output""=>""\n Supported Methods: GET HEAD\n Potentially risky methods: ""}"
"2025-09-08 08:27:49 UTC","10.90.242.12","https","443","tcp","nmap.nse.http-headers.tcp.443","{""output""=>""\n Date: Mon, 08 Sep 2025 07:46:06 GMT\n ETag: \""83-66e77500\""\n Accept-Ranges: bytes\n Content-Length: 131\n Connection: close\n Content-Type: text/html\n X-Frame-Options: SAMEORIGIN\n Content-Security-Policy: frame-ancestors 'self'; object-src 'self'; script-src 'self' https: 'unsafe-eval' 'unsafe-inline' blob:;\n X-XSS-Protection: 1; mode=block\n X-Content-Type-Options: nosniff\n Strict-Transport-Security: max-age=31536000\n \n (Request type: GET)\n""}"
"2025-09-08 08:27:50 UTC","10.90.242.25","https","443","tcp","nmap.nse.http-headers.tcp.443","{""output""=>""\n Content-Type: text/html; charset=us-ascii\n Server: Microsoft-HTTPAPI/2.0\n Date: Mon, 08 Sep 2025 07:46:06 GMT\n Connection: close\n Content-Length: 315\n \n (Request type: GET)\n""}"
